file_name;uiqm;uicm;uism;uiconm
965.jpg;0.879470;3.578030;1.440700;0.811840
966.jpg;0.946000;3.472110;1.558300;0.875500
967.jpg;0.873700;3.880810;1.452400;0.802180
968.jpg;0.927890;3.848080;1.540400;0.854260
969.jpg;0.796890;3.888300;1.434700;0.719830
97.jpg;0.946480;2.938600;1.746000;0.864730
970.jpg;0.899960;3.866650;1.535400;0.824080
971.jpg;0.887890;3.876150;1.488700;0.814700
972.jpg;0.820870;3.441470;1.402500;0.752150
973.jpg;0.861950;3.104140;1.460800;0.794810
974.jpg;0.926310;3.121300;1.543000;0.858060
975.jpg;0.924250;2.951990;1.547200;0.856810
976.jpg;0.918890;3.136690;1.520500;0.851700
977.jpg;0.949050;3.126190;1.574200;0.880240
978.jpg;0.973490;3.281290;1.618300;0.902040
979.jpg;0.975610;3.163970;1.664400;0.901460
98.jpg;0.997480;2.833840;1.831800;0.914080
980.jpg;0.980440;2.725390;1.570700;0.917920
981.jpg;0.893330;2.748820;1.419700;0.835230
982.jpg;0.933640;2.861140;1.506400;0.871130
983.jpg;0.903930;2.764440;1.492100;0.840680
984.jpg;0.822620;3.042880;1.393100;0.757990
985.jpg;0.895180;2.617570;1.634900;0.820500
986.jpg;0.884070;2.659930;1.641200;0.807520
987.jpg;0.900110;2.443920;1.618000;0.828640
988.jpg;0.955550;2.159520;1.612300;0.891810
989.jpg;1.030800;1.984950;1.778300;0.961510
99.jpg;0.972410;2.510650;1.590400;0.909230
990.jpg;1.016000;2.028030;1.792200;0.943870
991.jpg;0.878310;2.283070;1.586500;0.808740
992.jpg;0.856050;3.000880;1.286100;0.803610
993.jpg;0.882040;3.576350;1.455100;0.813450
994.jpg;0.855540;3.902750;1.355900;0.790180
995.jpg;0.718740;3.848980;1.215000;0.653070
996.jpg;0.909850;4.620730;1.483900;0.833160
997.jpg;0.870610;4.351640;1.382400;0.800880
998.jpg;0.821180;4.262330;1.290800;0.755260
999.jpg;0.884260;3.959090;1.393600;0.817940
Cam1_16_23_22_10_11_2020.mp4_00500.jpg;0.804310;2.653140;1.437900;0.737390
Cam1_16_23_22_10_11_2020.mp4_00501.jpg;0.810340;2.656580;1.403900;0.746760
Cam1_16_23_22_10_11_2020.mp4_00502.jpg;0.821790;2.672680;1.441800;0.755980
Cam1_16_23_22_10_11_2020.mp4_00503.jpg;0.816130;2.708860;1.427700;0.750690
Cam1_16_23_22_10_11_2020.mp4_00504.jpg;0.809320;2.673990;1.422500;0.743970
Cam1_16_23_22_10_11_2020.mp4_00505.jpg;0.806850;2.662730;1.398300;0.743360
Cam1_16_23_22_10_11_2020.mp4_00506.jpg;0.803490;2.673760;1.411000;0.738560
Cam1_16_23_22_10_11_2020.mp4_00507.jpg;0.814490;2.724730;1.422200;0.749230
Cam1_16_23_22_10_11_2020.mp4_00508.jpg;0.818410;2.718180;1.405700;0.754920
Cam1_16_23_22_10_11_2020.mp4_00509.jpg;0.825590;2.730580;1.450700;0.758930
Cam1_16_23_22_10_11_2020.mp4_00510.jpg;0.824750;2.726690;1.442400;0.758730
Cam1_16_23_22_10_11_2020.mp4_00511.jpg;0.804190;2.710270;1.416900;0.738550
Cam1_16_23_22_10_11_2020.mp4_00512.jpg;0.824150;2.778190;1.470300;0.755370
Cam1_16_23_22_10_11_2020.mp4_00513.jpg;0.824070;2.778900;1.455400;0.756500
Cam1_16_23_22_10_11_2020.mp4_00514.jpg;0.828870;2.767950;1.459700;0.761480
Cam1_16_23_22_10_11_2020.mp4_00515.jpg;0.824350;2.785770;1.451400;0.757090
Cam1_16_23_22_10_11_2020.mp4_00516.jpg;0.825390;2.792190;1.439000;0.759200
Cam1_16_23_22_10_11_2020.mp4_00517.jpg;0.817530;2.747640;1.414300;0.753020
Cam1_16_23_22_10_11_2020.mp4_00518.jpg;0.831450;2.845530;1.454300;0.764130
Cam1_16_23_22_10_11_2020.mp4_00519.jpg;0.830500;2.843140;1.424200;0.765590
Cam1_16_23_22_10_11_2020.mp4_00520.jpg;0.826730;2.793850;1.419200;0.762280
Cam1_16_23_22_10_11_2020.mp4_00521.jpg;0.839530;2.815660;1.481200;0.770940
Cam1_16_23_22_10_11_2020.mp4_00522.jpg;0.830540;2.774110;1.420500;0.766480
Cam1_16_23_22_10_11_2020.mp4_00523.jpg;0.837100;2.736450;1.442100;0.772150
Cam1_16_23_22_10_11_2020.mp4_00524.jpg;0.842930;2.754640;1.468100;0.776220
Cam1_16_23_22_10_11_2020.mp4_00525.jpg;0.846620;2.714490;1.465700;0.780760
Cam1_16_23_22_10_11_2020.mp4_00526.jpg;0.841090;2.703760;1.463400;0.775000
Cam1_16_23_22_10_11_2020.mp4_00527.jpg;0.858560;2.744750;1.501100;0.790610
Cam1_16_23_22_10_11_2020.mp4_00528.jpg;0.863760;2.744040;1.498100;0.796530
Cam1_16_23_22_10_11_2020.mp4_00529.jpg;0.868430;2.742350;1.502700;0.801260
Cam1_16_23_22_10_11_2020.mp4_00530.jpg;0.876690;2.781480;1.531800;0.807560
Cam1_16_23_22_10_11_2020.mp4_00531.jpg;0.874400;2.749090;1.512500;0.806910
Cam1_16_23_22_10_11_2020.mp4_00532.jpg;0.876810;2.743910;1.512900;0.809540
Cam1_16_23_22_10_11_2020.mp4_00533.jpg;0.875900;2.734420;1.540300;0.806360
Cam1_16_23_22_10_11_2020.mp4_00534.jpg;0.878120;2.746190;1.540800;0.808650
Cam1_16_23_22_10_11_2020.mp4_00535.jpg;0.880240;2.752210;1.532900;0.811570
Cam1_16_23_22_10_11_2020.mp4_00536.jpg;0.866960;2.667280;1.550800;0.796280
Cam1_16_23_22_10_11_2020.mp4_00537.jpg;0.868820;2.668390;1.555300;0.797920
Cam1_16_23_22_10_11_2020.mp4_00538.jpg;0.873310;2.682100;1.551700;0.803010
Cam1_16_23_22_10_11_2020.mp4_00539.jpg;0.828980;2.674280;1.504800;0.758610
Cam1_16_23_22_10_11_2020.mp4_00540.jpg;0.831430;2.685280;1.496100;0.761910
Cam1_16_23_22_10_11_2020.mp4_00541.jpg;0.837510;2.660400;1.484700;0.769680
Cam1_16_23_22_10_11_2020.mp4_00542.jpg;0.809350;2.686870;1.424800;0.743720
Cam1_16_23_22_10_11_2020.mp4_00543.jpg;0.813340;2.674740;1.400600;0.750150
Cam1_16_23_22_10_11_2020.mp4_00544.jpg;0.824460;2.685920;1.438000;0.759100
Cam1_16_23_22_10_11_2020.mp4_00545.jpg;0.827340;2.704120;1.430300;0.762730
Cam1_16_23_22_10_11_2020.mp4_00546.jpg;0.826120;2.713920;1.408600;0.763120
Cam1_16_23_22_10_11_2020.mp4_00547.jpg;0.826240;2.748800;1.384000;0.765010
Cam1_16_23_22_10_11_2020.mp4_00548.jpg;0.822840;2.800660;1.429200;0.757160
Cam1_16_23_22_10_11_2020.mp4_00549.jpg;0.827030;2.805110;1.421200;0.762360
Cam1_16_23_22_10_11_2020.mp4_00550.jpg;0.830500;2.802080;1.429600;0.765460
Cam1_16_23_22_10_11_2020.mp4_00551.jpg;0.831830;2.746410;1.445200;0.766070
Cam1_16_23_22_10_11_2020.mp4_00552.jpg;0.830030;2.737460;1.398400;0.768040
Cam1_16_23_22_10_11_2020.mp4_00553.jpg;0.822520;2.724530;1.398300;0.759970
Cam1_16_23_22_10_11_2020.mp4_00554.jpg;0.834710;2.757200;1.435700;0.769910
Cam1_16_23_22_10_11_2020.mp4_00555.jpg;0.836420;2.731470;1.401100;0.774840
Cam1_16_23_22_10_11_2020.mp4_00556.jpg;0.831750;2.778190;1.418700;0.767920
Cam1_16_23_22_10_11_2020.mp4_00557.jpg;0.846560;2.734230;1.478800;0.779450
Cam1_16_23_22_10_11_2020.mp4_00558.jpg;0.845600;2.766250;1.451100;0.780430
Cam1_16_23_22_10_11_2020.mp4_00559.jpg;0.847050;2.752870;1.470500;0.780520
Cam1_16_23_22_10_11_2020.mp4_00560.jpg;0.839500;2.779850;1.498000;0.769810
